ID	Language_ID	Parameter_ID	Form	Value	Segments
hin-54_sleep-1	hin	54_sleep	niːnd	नींद	n iː n d
hin-718_sparkletwinkle-2	hin	718_sparkletwinkle	ʈɪmʈɪmaːnaː	टिमटिमाना	ʈ ɪ m ʈ ɪ m aː n aː
hin-1010_own-2	hin	1010_own	swaːmiː hoːnaː	स्वामी होना	s w aː m iː + h oː n aː
hin-118_birch-1	hin	118_birch	bʰuːrd͡ʒ	भूर्ज	bʰ uː r dʒ
hin-800_see-1	hin	800_see	deːkʰnaː	देखना	d eː kʰ n aː
hin-831_leave-1	hin	831_leave	piːt͡ʃʰeː t͡ʃʰoːɽənaː	पीछे छोड़ना	p iː tʃʰ eː + tʃʰ oː ɽ ə n aː
hin-197_girl-1	hin	197_girl	ləɽkiː	लड़की	l ə ɽ k iː
hin-906_cover-1	hin	906_cover	ɖʰəkənaː	ढकना	ɖʰ ə k ə n aː
hin-998_understand-1	hin	998_understand	sʊnːaː	सुनना	s ʊ nː aː
hin-225_talk-1	hin	225_talk	t͡ʃərt͡ʃaː	चर्चा	tʃ ə r tʃ aː
hin-141_bear-2	hin	141_bear	bʰaːluː	भालू	bʰ aː l uː
hin-425_price-2	hin	425_price	muːlj	मूल्य	m uː l j
hin-681_become-1	hin	681_become	bənːaː	बनना	b ə nː aː
hin-922_sing-1	hin	922_sing	ɡaːnaː	गाना	g aː n aː
hin-429_world-1	hin	429_world	wɪɕw	विश्व	w ɪ ɕ w
hin-287_boat-2	hin	287_boat	nɔːkaː	नौका	n ɔː k aː
hin-72_shadow-2	hin	72_shadow	pərt͡ʃʰaːĩː	परछाई	p ə r tʃʰ aː ĩː
hin-652_howmuch-1	hin	652_howmuch	kɪtnaː	कितना	k ɪ t n aː
hin-184_filth-2	hin	184_filth	ɡəndɡiː	गंदगी	g ə n d g iː
hin-729_whistle-1	hin	729_whistle	siːʈiː deːnaː	सीटी देना	s iː ʈ iː + d eː n aː
hin-880_hide-1	hin	880_hide	t͡ʃʰɪpaːnaː	छिपाना	tʃʰ ɪ p aː n aː
