ID	Language_ID	Parameter_ID	Form	Value	Segments
mnc-108_island-1	mnc	108_island	tʰun	tun	tʰ u n
mnc-401_pasture-1	mnc	401_pasture	ɔŋkʰɔ	ongko	ɔ ŋ kʰ ɔ
mnc-936_sting-1	mnc	936_sting	xatampi	hadambi	x a t a m p i
mnc-266_space-3	mnc	266_space	d͡ʒalakʰtʰan	jalaktan	dʒ a l a kʰ tʰ a n
mnc-789_love-2	mnc	789_love	kɔsitʰampi	gositambi	k ɔ s i tʰ a m p i
mnc-724_rustle-2	mnc	724_rustle	amt͡ʃanampi	amcanambi	a m tʃ a n a m p i
mnc-487_dense-2	mnc	487_dense	fiʃin	fišin	f i ʃ i n
mnc-129_egg-1	mnc	129_egg	usɤ	use	u s ɤ
mnc-272_fringe-1	mnc	272_fringe	xɔʃɔ	hošo	x ɔ ʃ ɔ
mnc-502_hot-2	mnc	502_hot	xalxʊn	halhūn	x a l x ʊ n
mnc-785_lookfor-1	mnc	785_lookfor	paimpi	baimbi	p a i m p i
mnc-458_spring-1	mnc	458_spring	sɤlmin	selmin	s ɤ l m i n
mnc-449_time-1	mnc	449_time	mutan	mudan	m u t a n
mnc-639_everything-2	mnc	639_everything	ɤitʰɤn paitʰa	eiten baita	ɤ i tʰ ɤ n + p a i tʰ a
mnc-850_press-2	mnc	850_press	fijanarampi	fiyanarambi	f i j a n a r a m p i
mnc-512_open-1	mnc	512_open	mila	mila	m i l a
mnc-989_name-3	mnc	989_name	kɤpu arampi	gebu arambi	k ɤ p u + a r a m p i
mnc-771_drive-2	mnc	771_drive	faŋkʰampi	fangkambi	f a ŋ kʰ a m p i
mnc-568_poor-1	mnc	568_poor	d͡ʒilun	jilun	dʒ i l u n
mnc-697_burn-2	mnc	697_burn	tɤkʰd͡ʒimpi	dekjimbi	t ɤ kʰ dʒ i m p i
mnc-233_language-1	mnc	233_language	kisun	gisun	k i s u n
mnc-75_cloud-1	mnc	75_cloud	tʰuki	tugi	tʰ u k i
mnc-656_four-1	mnc	656_four	tuin	duin	t u i n
mnc-890_preserve-2	mnc	890_preserve	parkijampi	bargiyambi	p a r k i j a m p i
mnc-583_alone-1	mnc	583_alone	ɤmuxun	emuhun	ɤ m u x u n
mnc-768_swim-3	mnc	768_swim	nijɤrɤmpi	niyerembi	n i j ɤ r ɤ m p i
mnc-101_brook-2	mnc	101_brook	pirkan	birgan	p i r k a n
mnc-289_sleigh-1	mnc	289_sleigh	xunt͡ʃu	huncu	x u n tʃ u
mnc-321_roof-1	mnc	321_roof	ɔjɔ	oyo	ɔ j ɔ
mnc-782_stay-1	mnc	782_stay	pimpi	bimbi	p i m p i
mnc-497_pointed-1	mnc	497_pointed	nukʰat͡ʃukʰa	nukacuka	n u kʰ a tʃ u kʰ a
mnc-37_thigh-1	mnc	37_thigh	sukʰsaxa	suksaha	s u kʰ s a x a
mnc-516_raw-1	mnc	516_raw	ɤsxun	eshun	ɤ s x u n
mnc-630_infrontof-2	mnc	630_infrontof	d͡ʒulɤrki	julergi	dʒ u l ɤ r k i
mnc-56_sky-1	mnc	56_sky	apkʰa	abka	a p kʰ a
mnc-817_stop-2	mnc	817_stop	nakʰampi	nakambi	n a kʰ a m p i
mnc-16_throat-1	mnc	16_throat	akʰsun ta	aksun da	a kʰ s u n + t a
mnc-413_grave-1	mnc	413_grave	ɤifu	eifu	ɤ i f u
mnc-457_year-1	mnc	457_year	sɤ	se	s ɤ
mnc-286_row-1	mnc	286_row	futʰa	futa	f u tʰ a
mnc-822_put-2	mnc	822_put	sintampi	sindambi	s i n t a m p i
mnc-199_grandfather-1	mnc	199_grandfather	mafa	mafa	m a f a
mnc-761_hurry-1	mnc	761_hurry	ɤpʃɤmpi	ebšembi	ɤ p ʃ ɤ m p i
mnc-954_tieup-2	mnc	954_tieup	xutʰxumpi	huthumbi	x u tʰ x u m p i
mnc-171_berry-2	mnc	171_berry	ɤritʰun	eritun	ɤ r i tʰ u n
mnc-578_other-1	mnc	578_other	wɤri	weri	w ɤ r i
mnc-360_honey-1	mnc	360_honey	xipsu	hibsu	x i p s u
mnc-131_lair-1	mnc	131_lair	jɤru	yeru	j ɤ r u
mnc-339_bag-2	mnc	339_bag	taparkan	dabargan	t a p a r k a n
mnc-655_three-1	mnc	655_three	ilan	ilan	i l a n
mnc-972_sweep-1	mnc	972_sweep	ɤrimpi	erimbi	ɤ r i m p i
mnc-504_cold-1	mnc	504_cold	pɤjɤn	beyen	p ɤ j ɤ n
mnc-114_bark-1	mnc	114_bark	nɔtʰxɔ	notho	n ɔ tʰ x ɔ
mnc-523_dark-1	mnc	523_dark	putʰu	butu	p u tʰ u
mnc-665_twenty-1	mnc	665_twenty	ɔrin	orin	ɔ r i n
mnc-982_speak-1	mnc	982_speak	xɤntumpi	hendumbi	x ɤ n t u m p i
mnc-300_board-2	mnc	300_board	d͡ʒurkan	jurgan	dʒ u r k a n
mnc-919_meet-2	mnc	919_meet	tʰɤisulɤmpi	teisulembi	tʰ ɤ i s u l ɤ m p i
mnc-776_stop-2	mnc	776_stop	ilinampi	ilinambi	i l i n a m p i
mnc-77_snow-1	mnc	77_snow	nimaŋki	nimanggi	n i m a ŋ k i
mnc-522_bright-2	mnc	522_bright	iltamu	ildamu	i l t a m u
mnc-372_shirt-1	mnc	372_shirt	t͡ʃimt͡ʃi	cimci	tʃ i m tʃ i
mnc-158_cuckoo-1	mnc	158_cuckoo	kʰɤkʰuxɤ	kekuhe	kʰ ɤ kʰ u x ɤ
mnc-254_count-1	mnc	254_count	pɤ	be	p ɤ
mnc-821_close-2	mnc	821_close	jakʰsimpi	yaksimbi	j a kʰ s i m p i
mnc-297_west-1	mnc	297_west	warki	wargi	w a r k i
mnc-133_flock-3	mnc	133_flock	fɤnijɤn	feniyen	f ɤ n i j ɤ n
